"Species";"EstimateLogit";"Std.errorLogit";"Trend";"Presence";"Total";"Flower_colour";"Flower_shape";"Nectar_qty";"Pct_insect_dep";"Pct_wind_dep";"Pollination"
"Acer campestre";0.085;0.01;"Increase";542;1193;"Gr";"d";"abundant";80;20;"Insect-pollinated"
"Acer negundo";0.114;0.049;"Increase";31;142;"Ye";"d";"little";0;100;"Wind-pollinated"
"Acer platanoides";-0.03;0.015;"Decline";181;616;"Ye";"d";"abundant";75;25;"Insect-pollinated"
"Acer pseudoplatanus";0.044;0.008;"Increase";684;1571;"Gr";"d";"abundant";83.3333333333333;16.6666666666667;"Insect-pollinated"
"Achillea millefolium";0.003;0.01;"Trendless";704;1268;"W";"h";"abundant";100;0;"Insect-pollinated"
"Aegilops geniculata";0.125;0.065;"Increase";23;53;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Aethusa cynapium";-0.001;0.021;"Trendless";100;410;"W";"h";"abundant";80;0;"Insect-pollinated"
"Agrimonia eupatoria";0.115;0.013;"Increase";298;631;"Ye";"d";"absence";71.4285714285714;0;"Insect-pollinated"
"Agrostis canina";-0.062;0.022;"Decline";79;373;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Agrostis capillaris";0.052;0.01;"Increase";375;1152;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Agrostis stolonifera";0.019;0.011;"Increase";408;1166;"VPR";"br";"absence";0;100;"Wind-pollinated"
"Aira caryophyllea";-0.015;0.047;"Trendless";33;99;"Gr";"br";"absence";0;28.5714285714286;"Other"
"Ajuga reptans";0.015;0.016;"Trendless";202;448;"B";"l";"abundant";66.6666666666667;0;"Insect-pollinated"
"Alchemilla acutiloba";-0.136;0.073;"Decline";20;36;"Gr";"d";"little";0;0;"Other"
"Alchemilla alpina";-0.176;0.051;"Decline";37;60;"Gr";"d";"little";33.3333333333333;0;"Other"
"Alliaria petiolata";0.115;0.015;"Increase";234;589;"W";"d";"abundant";71.4285714285714;0;"Insect-pollinated"
"Allium vineale";0.014;0.04;"Trendless";33;166;"VPR";"d";"very abundant";83.3333333333333;0;"Insect-pollinated"
"Alnus glutinosa";-0.009;0.049;"Trendless";41;81;"VPR";"t";"little";0;100;"Wind-pollinated"
"Alopecurus geniculatus";-0.017;0.079;"Trendless";18;65;"Gr";"br";"absence";0;100;"Wind-pollinated"
"Alopecurus myosuroides";0.025;0.007;"Increase";524;1575;"Gr";"br";"absence";0;100;"Wind-pollinated"
